SMR,SMR_Val,,SMRCCS,SMRCCS_Val,,PEM,PEM_Val,,WF,WF_Val
StainlessSteel,0.163421737,,Concrete,0.404431992,,Concrete,0.05230542,,StainlessSteel,0.303123763
AluminaRefractory,0.203369651,,StainlessSteel,0.327476004,,PvcPiping,0.003923336,,GlassFiber,0.10757787
NickelAlumina,0.041055413,,Methyldiethanolamine,0.189177028,,EthyleneGlycol,6.68813E-05,,Copper,0.027455469
Electronics,0.065969459,,Monoethanolamine,0.078914976,,CastIron,0.025562915,,Concrete,0.187178445
Concrete,0.42952603,,,,,InjectionMould,0.006403236,,CarbonSteel,0.317129445
CarbonSteel,0.084546934,,,,,PolypropyleneGranulate,0.049307611,,RockAggregate,0.006856853
IronOxideChromiumOxide,0.012110777,,,,,Electronics,0.029706024,,Neodymium,0.019929384
,,,,,,Elastomere,0.005855061,,Dysprosium,0.016450465
,,,,,,ReinforcedSteel,0.456898956,,ZincRichPrimer,0.000254683
,,,,,,ChromiumSteel,0.076435884,,EpoxyCoat,0.000380643
,,,,,,Copper,0.042706852,,Polyurethane,0.000997774
,,,,,,CarbonBlack,5.26857E-05,,GelCoat,0.001101994
,,,,,,Tetrafloroethylene,0.005850679,,Tetrafloroethylene,0.004771977
,,,,,,Aluminium,0.051322223,,LubricatingOil,0.000128774
,,,,,,Titanium,0.130641648,,Aluminum,0.006662461
,,,,,,Iridium,0.047891277,,,
,,,,,,Platinum,0.007698336,,,
,,,,,,PolyvinylFluoride,0.000187049,,,
,,,,,,LubricatingOil,0.001803594,,,
,,,,,,ZeoliteCatalyst,0.00538033,,,
