,CO2 to Stack,O2 from air,Natural Gas,N2 in Stack,H2O vented from the process,Power,CO2 Blowdown,CO2 from air,O2 to Stack,N2 to Stack,GridPower,N2 vented from the process,N2 Desorped,Solar,N2 in Blowdown,H2O from air,O2 vented out of ASU,Wind,Pure Hydrogen,N2 from Air,H2O in Blowdown,H2O Fresh,CO2 Vented from the process,N2 in product stream,H2O to Stack,CO2 Captured,H2O Vent from ASU,O2 vented from the process
SMRCCS,-9.3713,-6.811924,0.0,0.0,3.826767,-0.00139,0.0,-0.013551,0.6203032,22.32218,0.0,0.0,0.0,0.0,0.0,-0.183055,0.0,0.0,0.0,-22.2315,0.0,0.0,0.46856,0.0,0.558114,8.903,0.0,0.0
Grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATR_CCS_R,0.0,-3.87607534,-3.2080287,2.182324573,0.5239897,-0.00175403726,0.0,-0.007711159,0.0,0.0,0.0,9.970844643,0.023329689,0.0,0.0,-0.1041653,0.061984387,0.0,1.0,-12.653394,1.7351222,-4.8123228,0.457276602,0.002780318,0.0,7.733322317,0.0,0.0647028
AWE,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.4635,0.0,0.0,0.0,0.0,0.0,0.0
ATR_CCS_OC,0.0,-6.758549377,-3.584338787,0.0,0.0,-0.0059130434,0.11601384,-0.010770164,0.0,0.0,0.0,16.7175342,0.131330546,0.0,0.000797082,-0.145487576,0.0,0.0,1.0,-17.67297545,3.598489736,-5.377267146,0.0,0.002780318,0.0,9.192057517,0.003250534,0.10392561
SMR,9.3713,-5.88716,-3.535189,0.0,0.0,-0.00065,0.0,-0.01171,0.535434,19.29814,0.0,0.0,0.0,0.0,0.0,-0.1582,0.0,0.0,1.0,-19.2134,0.0,-16.78877421,0.0,0.0,3.94959,0.0,0.0,0.0
PV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM,0.0,0.0,0.0,0.0,0.0,-0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0
ATR_CCS_R_OC,0.0,-4.804359335,-3.208028688,0.0,0.0,-0.00203229813,0.671400596,-0.007656042,0.0,0.0,0.0,11.88406435,0.102417105,0.0,0.008434949,-0.103420802,0.0,0.0,1.0,-12.56295099,0.004504513,-4.812322829,0.0,0.002780318,0.0,8.152141983,0.002310721,0.073878039
