Time and date,,NG_Price,DAM Houston,PVGRPP_HO,WGRPP_HO,GWP,,,,,,,natural gas,coal,wind ,nuclear,solar
0:00,2.76,0.140172676,23.72,0,411.6,624.052,,,,,,,0.53,0.108,0.254,0.096,0
1:00,2.77,0.140680549,20.05,0,296.7,614.36,,,,,,,0.526,0.094,0.273,0.102,0
2:00,2.76,0.140172676,17.42,0,206.6,587.887,,,,,,,0.504,0.083,0.299,0.106,0
3:00,2.76,0.140172676,16.38,0,195.9,560.111,,,,,,,0.475,0.086,0.322,0.109,0
4:00,2.75,0.139664804,15.7,0,151.9,537.928,,,,,,,0.452,0.088,0.341,0.112,0
5:00,2.73,0.13864906,15.23,0,219.5,559.521,,,,,,,0.474,0.087,0.323,0.112,0
6:00,2.77,0.140680549,16.88,0,202.1,603.111,,,,,,,0.518,0.086,0.283,0.109,0
7:00,2.77,0.140680549,20.17,4.4,238.5,617.108,,,,,,,0.532,0.086,0.246,0.106,0.025
8:00,2.82,0.143219909,18.5,200.1,136,540.695,,,,,,,0.456,0.085,0.161,0.1,0.192
9:00,2.83,0.143727781,16.11,491.8,106,511.84,,,,,,,0.43,0.078,0.117,0.094,0.277
10:00,2.86,0.145251397,15.77,546.9,298.9,523.205,,,,,,,0.443,0.074,0.101,0.087,0.291
11:00,2.78,0.141188421,18.5,785.8,291.9,540.049,,,,,,,0.457,0.081,0.09,0.082,0.287
12:00,2.74,0.139156932,23.44,1042.4,238.4,554.556,,,,,,,0.465,0.097,0.084,0.077,0.273
13:00,2.76,0.140172676,37.15,1190,244,565.621,,,,,,,0.472,0.107,0.085,0.072,0.257
14:00,2.8,0.142204165,56.36,1359.4,262.1,587.839,,,,,,,0.493,0.11,0.081,0.069,0.244
15:00,2.84,0.144235653,67.84,1516,344.4,587.058,,,,,,,0.491,0.113,0.087,0.067,0.237
16:00,2.81,0.142712037,95.82,1468.3,586.8,585.429,,,,,,,0.491,0.109,0.096,0.066,0.234
17:00,2.81,0.142712037,119.33,1402.2,638.2,575.615,,,,,,,0.482,0.107,0.11,0.066,0.225
18:00,2.82,0.143219909,119.02,1284.2,709.6,580.615,,,,,,,0.487,0.107,0.136,0.066,0.198
19:00,2.83,0.143727781,96,883.4,896.9,592.802,,,,,,,0.5,0.105,0.187,0.067,0.135
20:00,2.84,0.144235653,187.62,307.5,902.8,656.317,,,,,,,0.557,0.121,0.217,0.07,0.025
21:00,2.84,0.144235653,119.32,9.9,657.9,630.064,,,,,,,0.534,0.113,0.271,0.073,0
22:00,2.83,0.143727781,37.44,0,484.2,608.032,,,,,,,0.514,0.108,0.288,0.076,0
23:00,2.83,0.143727781,25.19,0,423.1,582.48,,,,,,,0.486,0.114,0.311,0.082,0
0:00,2.83,0.143727781,20.15,0,319.4,554.265,,,,,,,0.459,0.111,0.331,0.088,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,1000,kg CO2 EQ,Coal,,,,,,,
,,,,,,,,407,kg CO2 EQ,NG,,,,,,,
,,,,,,,,50,kg CO2 eq,Nuclear,,,,,,,
,,,,,,,,4.9,kg CO2 EQ,WF,,,,,,,
,,,,,,,,41,kg CO2 EQ,PV,,,,,,,
