DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,ACTUAL_LZ_SOUTH_HOUSTON,COP_HSL_LZ_SOUTH_HOUSTON,STWPF_LZ_SOUTH_HOUSTON,WGRPP_LZ_SOUTH_HOUSTON,ACTUAL_LZ_WEST,COP_HSL_LZ_WEST,STWPF_LZ_WEST,WGRPP_LZ_WEST,ACTUAL_LZ_NORTH,COP_HSL_LZ_NORTH,STWPF_LZ_NORTH,WGRPP_LZ_NORTH,DSTFlag
2/24/2024,1,4825.15,5223.7,4866.2,2607,1329.46,1323.8,1315.3,848.9,3216.69,3292.7,3257,1611.7,279,607.2,293.9,146.4,N
2/24/2024,2,5721.41,5694.9,5816.2,3208.6,1386.19,1292.1,1420.4,890.8,4105.37,3993.4,4150.9,2197.3,229.85,409.4,244.9,120.5,N
2/24/2024,3,6532.12,6333.7,6646.4,3830.2,1270.22,1241.3,1273.6,803.2,5006.19,4702.8,5121.7,2910.9,255.71,389.6,251.1,116.1,N
2/24/2024,4,7745.09,7375.8,7746.2,4677.2,1381.72,1424.3,1379.1,873.9,5982.65,5542.5,5997.6,3614.9,380.72,409,369.5,188.4,N
2/24/2024,5,9262.68,8308.8,9086.8,5744.3,1542.12,1470.6,1524.1,978.9,7156.29,6401.9,7044.8,4493,564.27,436.3,517.9,272.4,N
2/24/2024,6,10768.62,9184.2,10833.9,7232.8,1772.32,1664.8,1783.7,1197.5,8129.22,7023.7,8220.5,5540,867.08,495.7,829.7,495.3,N
2/24/2024,7,11659.59,10040.3,11743.9,8013.4,1759.24,1763.1,1780.8,1205.8,8883.4,7641.6,8947.1,6131.7,1016.95,635.6,1016,675.9,N
2/24/2024,8,12295.66,11270.4,12411,8663,1453.81,1586.7,1511.2,982.3,9826.24,8852.4,9870.9,6978.7,1015.61,831.3,1028.9,702,N
2/24/2024,9,11160.43,11120.7,11856.5,8242.4,1048.44,1114.4,1102.1,668.9,9288.91,9161.7,9886.1,6978.6,823.08,844.6,868.3,594.9,N
2/24/2024,10,9649.56,9810.9,9270.9,5942,1089.17,831.2,957.2,590.7,8074.72,8334.6,7805.1,5059.8,485.67,645.1,508.6,291.5,N
2/24/2024,11,12991.77,9927.9,12856.1,9065.2,2066.91,1081.3,1942.7,1258.2,10604.36,8448.3,10576.6,7631.8,320.5,398.3,336.8,175.2,N
2/24/2024,12,16232.76,12320.4,16831.6,12590.6,2919.74,1703.9,2880,1893.6,13046.49,10258.6,13668.6,10551.8,266.53,357.9,283,145.2,N
2/24/2024,13,16972.74,16467.2,18018.6,13579.1,3319.81,2945.7,3428.1,2335.8,13386.06,13111.7,14335.4,11107.3,266.87,409.8,255.1,136,N
2/24/2024,14,17898.11,18555.9,18918,14232.8,3562.16,3583.9,3650.2,2502.4,13898.1,14523.6,14825.9,11488.5,437.85,448.4,441.9,241.9,N
2/24/2024,15,19368.37,19422,20434.9,15391.8,3924.48,3895.5,4050.3,2822.2,14892.56,14998.7,15842.4,12270,551.33,527.8,542.2,299.6,N
2/24/2024,16,20741.66,20519.6,21884.4,16585.8,4509.93,4199.6,4640.6,3324.1,15543.96,15588.6,16559.7,12864.1,687.77,731.4,684.1,397.6,N
2/24/2024,17,21783.52,21310,22973.2,17564.9,5077.4,4760.9,5298.8,3939.5,15800.23,15706.8,16783.9,13074.3,905.89,842.3,890.5,551.1,N
2/24/2024,18,21976.32,20958.2,23159.4,17642,5409.83,5068,5831.3,4504.2,15491.98,14907.4,16223.6,12439.5,1074.51,982.8,1104.5,698.3,N
2/24/2024,19,20923.26,20957.6,21536.3,15948.6,4840.45,5088.1,5273,4024.6,14856.06,14641.5,15060.9,11186.5,1226.75,1228,1202.4,737.5,N
2/24/2024,20,22658.15,23786.3,22803.2,17261.1,4565.87,5538.2,4829.9,3627.4,16303.64,16558.3,16225.9,12405.1,1788.64,1689.8,1747.4,1228.6,N
2/24/2024,21,25112.47,25142.4,26649.1,21395.8,4709.45,5333.8,5317.6,4102.9,18048.49,17873,18949.7,15386.5,2354.53,1935.6,2381.8,1906.4,N
2/24/2024,22,25094.41,26394,28475.6,23228.9,4890.07,5205.4,5614.6,4380.2,17892.79,18946.7,20310.5,16770.7,2311.55,2241.9,2550.5,2078,N
2/24/2024,23,25038.04,28296.3,29626.2,24424.8,5059.74,5462.2,6161.1,4906.7,17724.71,20318.2,20864.2,17379,2253.59,2515.9,2600.9,2139.1,N
2/24/2024,24,24981.67,28903.8,29700.2,24537.1,,5620.3,5982.7,4726.9,,20724.2,21116.6,17671.7,,2559.3,2600.9,2138.5,N
