,Charge,Air_C,H2O_E,Solar,Wind,Power,H2_C,H2_L,H2_B,H2,H2_G,H2O,O2,CH4,CO2,CO2_Vent,CO2_DAC,CO2_AQoff,CO2_EOR,CH3OH,Power_Gr,Uranium,Lithium
LiI_c,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiI_d,-1.6807,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAES_c,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAES_d,0,-1.8727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSH_c,0,0,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
PSH_d,0,0,-1.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PV,0,0,0,-1,0,1,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0
WF,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
AKE,0,0,0,0,0,-1,0,0,0,0,19.474,-175.266,763.2,0,0,0,0,0,0,0,0,0,0
SMRH,0,0,0,0,0,-1.11E-03,0,0,1,0,0,-23.7,0,-3.76,9.3324,1.03,0,0,0,0,0,0,0
SMR,0,0,0,0,0,-1.11E-03,0,0,1,0,0,-23.7,0,-3.76,0,9.4979,0,0,0,0,0,0,0
H2_C_c,0,0,0,0,0,-1.1E-03,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_C_d,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_L_c,0,0,0,0,0,-0.417E-03,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_L_d,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAC,0,0,0,0,0,-1.93E-04,0,0,0,0,0,-4.815,0,0,0,0,1,0,0,0,0,0,0
EOR,0,0,0,0,0,-0.002552778,0,0,0,0,0,0,0,0,-1,0.67,0,0,0.003,0,0,0,0
AQoff_SMR,0,0,0,0,0,-0.001276389,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0
MEFC,0,0,0,0,0,-4.84E-01,0,0,0,0,-0.4048,0,0,0,0,0,-1.2143,0,0,1,0,0,0
AQoff_DAC,0,0,0,0,0,-0.001276389,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0
H2_Blue,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_Green,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Grid,0,0,0,0,0,1,0,0,0,0,0,-150,0,0,0,549,0,0,0,0,-1,0,0
ASMR,0,0,0,0,0,1 ,0,0,0,0,0,-3364.11,0,0,0,0,0,0,0,0,0,-4.167E-5,0
